epoch,beta,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,0.020000000000000004,0.17618022572535735,0.15859895658034545,0.8790634626952502,0.1519632264971733,0.14959527924656868,0.11839740164577961
2,0.04000000000000001,0.15201507738003364,0.14937537908554077,0.06599245270570883,0.14277050644159317,0.13968892022967339,0.0770397037267685
3,0.06,0.145091257416285,0.13916858801474938,0.09871115549825706,0.13978631049394608,0.13270268961787224,0.1180602815002203
4,0.08000000000000002,0.14091803763921446,0.1307253995193885,0.1274079866707325,0.12582317739725113,0.11747724376618862,0.10432418622076511
5,0.1,0.13327248394489288,0.11964426161004947,0.13628221245912406,0.13856146857142448,0.12599538639187813,0.12566085904836655
6,0.1,0.13220968727882093,0.118238936823148,0.13970749997175658,0.12847686186432838,0.11732031777501106,0.11156545579433441
7,0.1,0.1225255962747794,0.11144035223584908,0.11085244869956604,0.11844889260828495,0.10736346431076527,0.1108542550355196
8,0.1,0.12143335577387077,0.10940588953403327,0.12027465724028073,0.11727115325629711,0.10525114461779594,0.12020006962120533
9,0.1,0.12553357992034692,0.11071167456415984,0.1482190452516079,0.12250338867306709,0.10936302877962589,0.1314035728573799
10,0.1,0.11967104616073462,0.10666323052002834,0.13007816242483947,0.11651338450610638,0.10515168868005276,0.11361696384847164
11,0.1,0.11682433520372097,0.10437910860547653,0.12445226540932289,0.12037543207406998,0.1050777081400156,0.15297726169228554
12,0.1,0.11648422794846389,0.10302246849124248,0.1346175939990924,0.1170219574123621,0.10510753467679024,0.11914423666894436
13,0.1,0.11542817090566342,0.10217259222498307,0.1325557827949524,0.11696549318730831,0.1026676706969738,0.1429782249033451
14,0.1,0.11560987365933564,0.10180897351640922,0.13800900028302118,0.11464483849704266,0.09955410473048687,0.15090731531381607
15,0.1,0.114708539385062,0.1008297663468581,0.13878772493738395,0.11365182884037495,0.1014440581202507,0.12207769602537155
16,0.1,0.11330911803704041,0.1001240020761123,0.13185115846303794,0.11579650081694126,0.10245729051530361,0.1333920955657959
17,0.1,0.11402407173927014,0.10010198790293473,0.1392208389364756,0.11332176066935062,0.09749593771994114,0.15825821086764336
18,0.1,0.11447979796391267,0.09977739132367648,0.14702405780553818,0.11217276565730572,0.0989391878247261,0.13233577832579613
19,0.1,0.11134822924549763,0.09803616656706883,0.13312062506492323,0.11087670922279358,0.09707546047866344,0.13801249489188194
20,0.1,0.11093462029328713,0.09728780961953677,0.1364681078837468,0.11567997559905052,0.09922118857502937,0.1645878590643406
21,0.1,0.11230825632810593,0.09768437966704369,0.14623875686755547,0.11938382312655449,0.10469246283173561,0.14691361039876938
22,0.1,0.11214865371584892,0.09799251275566909,0.14156140644962972,0.10928698070347309,0.09591525234282017,0.13371729105710983
23,0.1,0.10903962157093562,0.09561358478206855,0.13426036874835307,0.10874508135020733,0.09518188051879406,0.1356320008635521
24,0.1,0.10932842613412784,0.09607070942337696,0.13257717255216378,0.110497135668993,0.09697055444121361,0.13526581227779388
25,0.1,0.10867464456420678,0.09498079694234408,0.13693847507238388,0.10839533992111683,0.09626589715480804,0.12129443697631359
26,0.1,0.1089008949123896,0.09526671239962944,0.1363418193963858,0.11061516404151917,0.09712496958673,0.13490192592144012
27,0.1,0.10868818599444169,0.09518711670086934,0.13501068347921738,0.10712913237512112,0.09394540451467037,0.13183728232979774
28,0.1,0.10815534482781704,0.09433046298531386,0.13824882329656527,0.10669748857617378,0.09271383285522461,0.13983654603362083
29,0.1,0.10860948579815718,0.09466886549041821,0.13940620164458567,0.10668245330452919,0.09358388744294643,0.1309856530278921
30,0.1,0.10694663226604462,0.09373087407304691,0.1321575830762203,0.10738866962492466,0.09404595755040646,0.13342711701989174
31,0.1,0.10648916518458953,0.09327843670661633,0.13210728105444175,0.10678901709616184,0.09346831776201725,0.13320700451731682
32,0.1,0.10650778619142678,0.09282295520489033,0.13684830298790565,0.11020847037434578,0.09645520336925983,0.13753266632556915
33,0.1,0.10576817565239392,0.09218605005970368,0.13582125764626723,0.10549695044755936,0.09184380248188972,0.13653146848082542
34,0.1,0.10604235443931359,0.09237960496774086,0.13662750331255105,0.10453902184963226,0.09087341092526913,0.13665610924363136
35,0.1,0.10580435653145497,0.09229374791567142,0.13510608931000417,0.10712773352861404,0.09244927577674389,0.14678458124399185
36,0.1,0.10606069834186481,0.09223580761597706,0.13824890467983025,0.10549964010715485,0.09252638183534145,0.12973258830606937
37,0.1,0.1050860254237285,0.09150986029551579,0.13576164641059363,0.10780631750822067,0.09343151189386845,0.14374804496765137
38,0.1,0.10666066522781666,0.0928831401352699,0.13777524720017725,0.1119107324630022,0.09640088863670826,0.15509843453764915
39,0.1,0.10574228775042754,0.09193350288730401,0.13808784089409387,0.10571800731122494,0.09143362380564213,0.1428438350558281
40,0.1,0.10373269480008346,0.09057513165932435,0.13157562997478706,0.10448693111538887,0.08983828872442245,0.14648642390966415
41,0.1,0.1036951974607431,0.09046794044283721,0.13227257103874132,0.10328270681202412,0.08983461745083332,0.13448088616132736
42,0.1,0.10438702284143521,0.09075542453389901,0.1363159825022404,0.1060059666633606,0.09272963553667068,0.13276332058012486
43,0.1,0.10437180589024837,0.09070861167632617,0.13663194213922208,0.1044001430273056,0.0914809312671423,0.12919209711253643
44,0.1,0.10365958913014485,0.09016691750058761,0.13492671457620767,0.10403064265847206,0.09016493707895279,0.13865705206990242
45,0.1,0.10331456363201141,0.08974853587838319,0.13566027954220772,0.10589317418634892,0.09130755625665188,0.14585618302226067
46,0.1,0.10377726331353188,0.09002304936830814,0.13754213601350784,0.10239616222679615,0.08780921623110771,0.14586947113275528
47,0.1,0.10332897362800744,0.08961261751560065,0.1371635594047033,0.10382216796278954,0.08958345092833042,0.14238717406988144
48,0.1,0.10330738499760628,0.08951197048792472,0.1379541462430587,0.10189342871308327,0.08767753280699253,0.14215896651148796
49,0.1,0.10323967927923569,0.08946622306337723,0.13773456703011805,0.10331792011857033,0.08892172016203403,0.14396198838949203
50,0.1,0.10305676236748695,0.0892773623076769,0.13779400260402605,0.10340649262070656,0.08891510218381882,0.1449139155447483
51,0.1,0.10346124206597988,0.08974089072300838,0.13720350425976974,0.10575618222355843,0.09188883565366268,0.13867346197366714
52,0.1,0.10278632291234456,0.0891504267660471,0.13635896719419038,0.10372627526521683,0.08887145295739174,0.14854824542999268
53,0.1,0.10288314234751922,0.08904608596975987,0.13837056406415427,0.10178844816982746,0.08797569759190083,0.13812750577926636
54,0.1,0.10243771970272064,0.0886044897712194,0.13833229473003975,0.1019477155059576,0.08792569115757942,0.14022023975849152
55,0.1,0.10195628582285,0.08820907570994817,0.13747210055589676,0.1034968625754118,0.08963292464613914,0.1386393867433071
56,0.1,0.10202773918326084,0.08845474943518639,0.13572988917048162,0.103056900203228,0.08768200874328613,0.15374890714883804
57,0.1,0.1016120515190638,0.0876420160325674,0.13970035801713282,0.10188788175582886,0.08824577182531357,0.1364210993051529
58,0.1,0.10176349918429668,0.08818126211945827,0.1358223703618233,0.10041210427880287,0.08565086871385574,0.14761235564947128
59,0.1,0.10098679793568757,0.08714560075448109,0.13841197525079435,0.10160933621227741,0.08717389963567257,0.14435438066720963
60,0.1,0.10136766330553935,0.08746988268998954,0.13897780500925505,0.10109014064073563,0.08712667226791382,0.13963469490408897
